MJD	m	dm	uJy	duJy	F	err	chi/N	RA	Dec	x	y	maj	min	phi	apfit	mag5sig	Sky	Obs
59561.62217675	>20.14	0.0	10.225782286041781	16.134012051310368	o	>20.14	1.15	170.420820357143	20.1747992857143	10466.1	9854.23	3.02	2.84	>20.14	-0.4527	19.21	179.2	01a59561o0908o
59561.62402065	>20.15	0.0	-3.0145848522509815	16.077785878671904	o	>20.15	1.0	170.420820357143	20.1747992857143	495.76	9889.7	2.99	2.81	>20.15	-0.4557	19.33	180.5	01a59561o0912o
59561.62816945	>20.1	0.0	-7.514132499547583	16.807927959514334	o	>20.1	0.98	170.420820357143	20.1747992857143	10485.1	9735.09	2.96	2.78	>20.1	-0.4577	19.35	175.5	01a59561o0921o
59565.51232075	>19.68	0.0	16.87015069865936	25.993803627526155	o	>19.68	1.32	170.420820357143	20.1747992857143	390.49	9980.99	2.68	2.49	>19.68	-0.5117	18.79	184.1	01a59565o0646o
59565.51555975	>19.62	0.0	17.535652602039022	27.18026153316048	o	>19.62	1.13	170.420820357143	20.1747992857143	371.57	9938.99	2.73	2.52	>19.62	-0.5007	18.82	184.3	01a59565o0653o
59565.51924325	>19.64	0.0	-30.142154614452238	26.831744570090432	o	>19.64	0.95	170.420820357143	20.1747992857143	431.96	10016.0	2.72	2.52	>19.64	-0.4997	18.81	184.5	01a59565o0661o
59565.52016525	>19.71	0.0	-36.994744660842635	25.36782491029209	o	>19.71	1.15	170.420820357143	20.1747992857143	10381.0	9847.79	2.73	2.49	>19.71	-0.5097	18.75	187.0	01a59565o0663o
59565.52790985	>19.7	0.0	14.381287870492516	25.167253773361903	o	>19.7	1.23	170.420820357143	20.1747992857143	10366.5	9803.61	2.76	2.56	>19.7	-0.4957	18.77	184.6	01a59565o0679o
59565.52975225	>19.163032994261318	0.0	27.056398963798667	26.17794445198702	o	>19.163032994261318	1.06	170.420820357143	20.1747992857143	459.45	9899.56	2.74	2.56	>19.163032994261318	-0.4907	18.82	181.7	01a59565o0683o
59565.53253255	>19.76	0.0	-59.69767105169735	23.728411837583174	o	>19.76	1.37	170.420820357143	20.1747992857143	10429.3	9881.63	2.86	2.6	>19.76	-0.4927	18.74	187.3	01a59565o0689o
59565.54269615	>19.77	0.0	-5.773754490224785	23.45587761653819	o	>19.77	1.09	170.420820357143	20.1747992857143	10451.8	9764.25	2.76	2.61	>19.77	-0.4897	18.83	183.3	01a59565o0711o
