###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58058.544028 -20.221  0.860   -30   26 o  0   1.24 136.46285  -8.58543 10368.17  1136.98 2.77 2.00  50.4 -0.460 18.81 19.13 02a58058o0575o
58058.545863 -19.951  0.767   -38   29 o  0   0.87 136.46285  -8.58543   651.98  1196.04 1.88 1.71  46.8 -0.574 18.73 18.96 02a58058o0579o
58058.548605 -19.131  0.634   -81   51 o  0   1.23 136.46285  -8.58543 10346.95  1255.17 2.62 2.00  46.8 -0.463 18.38 18.76 02a58058o0585o
58058.550430 -19.176  0.599   -78   46 o  0   0.98 136.46285  -8.58543   593.27  1117.72 1.93 1.79  46.0 -0.619 18.25 18.66 02a58058o0589o
58058.557670  20.698  1.462    19   28 o  0   0.72 136.46285  -8.58543   576.12  1237.23 2.01 1.72  44.7 -0.596 18.90 19.19 02a58058o0598o
58064.560105 -20.739  1.457   -18   27 o  0   1.00 136.46285  -8.58543  1913.58 10047.23 3.43 2.90 -77.3 -0.436 18.55 19.49 01a58064o0766o
58064.568033  23.474 18.429     2   27 o  0   1.09 136.46285  -8.58543  1872.38  9990.51 3.28 2.80 -81.7 -0.451 18.61 19.55 01a58064o0783o
58064.571279 -19.823  1.036   -43   44 o  0   1.00 136.46285  -8.58543  7731.93   337.13 3.27 2.89 -82.4 -0.461 18.14 19.03 01a58064o0790o
58064.575899  21.480  3.000     9   28 o  0   1.00 136.46285  -8.58543  1949.20 10049.49 3.19 2.73 -80.2 -0.455 18.46 19.39 01a58064o0800o
58064.579155  20.497  1.389    23   32 o  0   0.91 136.46285  -8.58543  7714.59   279.28 3.35 3.04 -84.1 -0.447 18.39 19.39 01a58064o0807o
58064.585152  20.390  1.915    25   48 o  0   1.06 136.46285  -8.58543  1968.85  9906.90 3.22 2.80 -81.3 -0.453 17.91 18.53 01a58064o0817o
58064.587914 -21.898 11.200    -6   71 o  0   0.86 136.46285  -8.58543  7770.11   332.94 3.33 3.19  84.8 -0.450 17.84 18.61 01a58064o0823o
58064.596959 -20.951  1.847   -15   28 o  0   0.92 136.46285  -8.58543  7786.92   189.59 3.39 3.14  85.9 -0.448 18.41 19.34 01a58064o0839o
58066.572529 -21.207  1.500   -12   18 o  0   1.03 136.46285  -8.58543   902.39  4279.39 2.28 1.97   7.6 -0.448 18.99 19.64 02a58066o0782o
58066.580496 -22.217  2.925    -5   14 o  0   1.18 136.46285  -8.58543   918.80  4319.26 2.05 1.87  15.1 -0.462 19.08 19.71 02a58066o0799o
58066.588407  20.776  0.812    18   14 o  0   1.11 136.46285  -8.58543   859.70  4243.86 2.05 1.84  16.7 -0.468 19.12 19.76 02a58066o0816o
58066.596403  21.504  1.710     9   16 o  0   1.52 136.46285  -8.58543   833.88  4362.98 2.24 1.88   5.7 -0.465 19.07 19.79 02a58066o0833o
58068.540717 -21.009  1.476   -14   21 o  0   1.42 136.46285  -8.58543  2412.12  6669.38 3.23 2.95 -84.9 -0.441 18.71 19.90 01a58068o0683o
58068.547638 -20.300  0.728   -28   20 o  0   1.11 136.46285  -8.58543  2389.63  6616.65 3.41 3.14 -87.0 -0.426 18.84 20.19 01a58068o0698o
58070.555823  20.792  0.655    18   12 o  0   0.79 136.46285  -8.58543  8668.98  1904.53 2.48 2.04  46.6 -0.454 19.65 20.92 02a58070o0754o
58070.562840 -24.763 19.750    -0    9 o  0   1.48 136.46285  -8.58543  8686.95  1944.95 2.44 1.99  48.3 -0.456 19.69 20.98 02a58070o0769o
58070.569760 -22.499  2.515    -4    9 o  0   1.27 136.46285  -8.58543  8627.70  1868.86 2.39 1.96  47.7 -0.469 19.73 21.01 02a58070o0784o
58070.576757  22.440  2.735     4   10 o  0   0.93 136.46285  -8.58543  8604.04  1986.91 2.41 2.02  50.3 -0.457 19.70 21.03 02a58070o0799o
58072.546109 -24.140 20.750    -1   17 o  0   0.69 136.46285  -8.58543  2508.56 10261.64 3.17 2.78 -78.4 -0.443 19.19 20.65 01a58072o0764o
58072.554049  22.906  7.000     2   18 o  0   0.69 136.46285  -8.58543  2488.10 10203.68 3.18 2.93 -82.6 -0.439 19.16 20.65 01a58072o0781o
58072.557375  21.703  2.156     8   16 o  0   1.15 136.46285  -8.58543  8325.19   544.68 3.47 3.06 -88.9 -0.432 19.14 20.63 01a58072o0788o
58072.561986  22.962  6.833     2   16 o  0   0.92 136.46285  -8.58543  2543.82 10261.86 3.08 2.84 -81.2 -0.446 19.20 20.68 01a58072o0798o
58072.565252  21.347  1.468    10   15 o  0   0.94 136.46285  -8.58543  8301.94   483.86 3.37 2.97 -88.1 -0.442 19.24 20.76 01a58072o0805o
58072.569879  21.320  1.455    11   16 o  0   0.84 136.46285  -8.58543  2560.55 10122.56 3.10 2.80 -83.3 -0.449 19.26 20.82 01a58072o0815o
58072.573129 -20.306  0.573   -27   16 o  0   1.05 136.46285  -8.58543  8358.92   540.38 3.41 3.10 -82.8 -0.432 19.22 20.78 01a58072o0822o
58072.581013 -21.879  2.500    -6   16 o  0   0.90 136.46285  -8.58543  8377.93   398.52 3.37 3.08 -85.7 -0.437 19.24 20.78 01a58072o0839o
